vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Joe Biden,Male,"$200,000 to $249,999",Masters degree,CA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$75,000 to $79,999",Associate Degree,TX,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$25,000 to $29,999","Completed some college, but no degree",NV,71 to 80,White,Male 71 to 80
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",FL,20 or less,White,Female 20 or less
Joe Biden,Female,"Less than $14,999",Doctorate degree,TX,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Male,"$40,000 to $44,999",Masters degree,WV,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$150,000 to $174,999",Masters degree,DC,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$150,000 to $174,999",High school graduate,GA,20 or less,"Black, or African American",Female 20 or less
Joe Biden,Female,"$55,000 to $59,999","Completed some college, but no degree",OH,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999",Completed some high school,DC,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",SC,20 or less,"Black, or African American",Female 20 or less
Joe Biden,Male,"$60,000 to $64,999","Completed some college, but no degree",CA,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$95,000 to $99,999",Masters degree,MA,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$80,000 to $84,999",Associate Degree,MD,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$100,000 to $124,999","Completed some college, but no degree",NC,20 or less,White,Male 20 or less
Donald Trump,Male,"$125,000 to $149,999",Masters degree,WA,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$150,000 to $174,999","Completed some college, but no degree",MA,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$50,000 to $54,999","Completed some college, but no degree",DC,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$55,000 to $59,999",High school graduate,OH,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Male,"$95,000 to $99,999",Associate Degree,FL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$60,000 to $64,999","Completed some college, but no degree",FL,61 to 70,"Black, or African American",Female 61 to 70
Donald Trump,Female,"$20,000 to $24,999","Completed some college, but no degree",FL,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$100,000 to $124,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$15,000 to $19,999",High school graduate,CA,41 to 50,"Black, or African American",Female 41 to 50
Donald Trump,Male,"$100,000 to $124,999",Masters degree,CA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,FL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,FL,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Male,"$70,000 to $74,999",Masters degree,MA,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$250,000 and above",Masters degree,NY,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$15,000 to $19,999","Completed some college, but no degree",NC,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$80,000 to $84,999",Masters degree,CA,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Female,"$15,000 to $19,999",High school graduate,MA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$50,000 to $54,999",Associate Degree,SC,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,CA,51 to 60,"Black, or African American",Female 51 to 60
Joe Biden,Male,"$85,000 to $89,999",Doctorate degree,CA,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$60,000 to $64,999",High school graduate,NC,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$200,000 to $249,999",Masters degree,NY,31 to 40,White,Male 31 to 40
Donald Trump,Female,"Less than $14,999",High school graduate,FL,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$150,000 to $174,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$95,000 to $99,999",High school graduate,CA,31 to 40,Other race,Male 31 to 40
Joe Biden,Male,"$75,000 to $79,999",Associate Degree,VA,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Male,"Less than $14,999",High school graduate,IL,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,IA,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,KY,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$35,000 to $39,999","Completed some college, but no degree",FL,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Female,"$25,000 to $29,999","Completed some college, but no degree",AL,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,NY,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$20,000 to $24,999",Associate Degree,CO,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Male,"$200,000 to $249,999",Masters degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$150,000 to $174,999",Associate Degree,OH,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$30,000 to $34,999",High school graduate,KS,21 to 30,other asian or pacific islander,Female 21 to 30
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",WA,61 to 70,Other race,Female 61 to 70
Joe Biden,Female,"$25,000 to $29,999",High school graduate,WI,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$20,000 to $24,999",Associate Degree,FL,61 to 70,White,Female 61 to 70
Joe Biden,Female,"Less than $14,999",Associate Degree,TX,41 to 50,Other race,Female 41 to 50
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",NY,20 or less,Chinese,Female 20 or less
Joe Biden,Female,"$15,000 to $19,999","Completed some college, but no degree",TX,31 to 40,Other race,Female 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$75,000 to $79,999",Associate Degree,VA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$40,000 to $44,999","Completed some college, but no degree",FL,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$55,000 to $59,999",Associate Degree,NV,41 to 50,Other race,Male 41 to 50
Donald Trump,Male,"$250,000 and above",Associate Degree,IN,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,NY,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$75,000 to $79,999",Associate Degree,NY,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,PA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$20,000 to $24,999",High school graduate,OR,21 to 30,other asian or pacific islander,Female 21 to 30
Joe Biden,Female,"Less than $14,999",Associate Degree,AL,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Female,"$95,000 to $99,999",Associate Degree,FL,41 to 50,White,Female 41 to 50
Joe Biden,Female,"Less than $14,999",High school graduate,TX,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$20,000 to $24,999","Completed some college, but no degree",OH,41 to 50,"Black, or African American",Female 41 to 50
Donald Trump,Male,"$15,000 to $19,999",High school graduate,FL,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$175,000 to $199,999",Masters degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",MI,61 to 70,"Black, or African American",Female 61 to 70
Donald Trump,Male,"$50,000 to $54,999","Completed some college, but no degree",CA,31 to 40,American Indian or Alaska Native,Male 31 to 40
Donald Trump,Male,"$200,000 to $249,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$40,000 to $44,999","Completed some college, but no degree",PA,41 to 50,Other race,Female 41 to 50
Joe Biden,Male,"$35,000 to $39,999",Associate Degree,OH,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$150,000 to $174,999",Associate Degree,NY,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,ME,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,TN,61 to 70,White,Male 61 to 70
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",CO,41 to 50,American Indian or Alaska Native,Female 41 to 50
Joe Biden,Female,"$25,000 to $29,999",High school graduate,TX,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Male,"$50,000 to $54,999","Completed some college, but no degree",FL,41 to 50,Other race,Male 41 to 50
Joe Biden,Female,"Less than $14,999",High school graduate,CA,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$150,000 to $174,999",Masters degree,IL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$85,000 to $89,999",Associate Degree,GA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",High school graduate,TX,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Female,"$70,000 to $74,999",Associate Degree,NY,51 to 60,Other race,Female 51 to 60
Donald Trump,Female,"$70,000 to $74,999","Completed some college, but no degree",CO,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$125,000 to $149,999",Masters degree,TX,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$45,000 to $49,999",Masters degree,NJ,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$100,000 to $124,999",Masters degree,VA,31 to 40,other asian or pacific islander,Female 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,FL,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$15,000 to $19,999",Associate Degree,TX,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$25,000 to $29,999",Associate Degree,IL,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$55,000 to $59,999","Completed some college, but no degree",TX,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$100,000 to $124,999","Completed some college, but no degree",VA,above 80,White,Male above 80
Donald Trump,Male,"$55,000 to $59,999",Associate Degree,NC,61 to 70,White,Male 61 to 70
Joe Biden,Male,"Less than $14,999",High school graduate,VA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$15,000 to $19,999",Associate Degree,NY,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Masters degree,VA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$125,000 to $149,999",High school graduate,WI,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$100,000 to $124,999",Masters degree,FL,51 to 60,Other race,Male 51 to 60
Joe Biden,Male,"$45,000 to $49,999",Associate Degree,KY,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,WI,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,MI,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,NC,41 to 50,"Black, or African American",Female 41 to 50
Joe Biden,Male,"$55,000 to $59,999","Completed some college, but no degree",IL,31 to 40,Other race,Male 31 to 40
Donald Trump,Male,"$55,000 to $59,999","Completed some college, but no degree",FL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$55,000 to $59,999",Associate Degree,TX,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$15,000 to $19,999",Associate Degree,AR,61 to 70,Other race,Female 61 to 70
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,CO,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,FL,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,GA,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$40,000 to $44,999",Associate Degree,OK,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$125,000 to $149,999",Associate Degree,CA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$55,000 to $59,999",Associate Degree,MD,31 to 40,"Black, or African American",Female 31 to 40
